name,chembl_id,clean_smiles,first_approval_year,indication_class,molecule_type,withdrawn_flag,therapeutic_flag,polymer_flag,inorganic_flag,natural_product_flag,parenteral,topical,oral,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,stripped_salt_smiles,neutralized_smiles,inchi,duplicated,D001,fda_approved
TROMETHAMINE,CHEMBL1200391,NC(CO)(CO)CO,1965,Alkalizer,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
PYRAZINAMIDE,CHEMBL614,NC(=O)c1cnccn1,1971,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
DIMERCAPROL,CHEMBL1597,OCC(S)CS,1946,Antidote (to arsenic and gold and mercury poisoning),Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
MEQUINOL,CHEMBL544,COc1ccc(O)cc1,1999,,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1.0,1.0
FOSCARNET,CHEMBL666,O=C(O)P(=O)(O)O,1991,FOSCARNET SODIUM,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
PYRITHIONE,CHEMBL1650619,On1ccccc1=S,1986,PYRITHIONE ZINC,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
FLUCYTOSINE,CHEMBL1463,Nc1nc(=O)[nH]cc1F,1971,Antifungal,Small molecule,False,True,False,False,True,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
VIGABATRIN,CHEMBL89598,C=CC(N)CCC(=O)O,2009,Anticonvulsant (tardive dyskinesia),Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
METFORMIN,CHEMBL1431,CN(C)C(=N)NC(=N)N,1995,METFORMIN HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
FLUOROURACIL,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,1962,Antineoplastic,Small molecule,False,True,False,False,True,True,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
MONOMETHYL FUMARATE,CHEMBL589586,COC(=O)/C=C/C(=O)O,2020,,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
AMINOLEVULINIC ACID,CHEMBL601,NCC(=O)CCC(=O)O,1999,AMINOLEVULINIC ACID HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
AMINOCAPROIC ACID,CHEMBL1046,NCCCCCC(=O)O,1964,Hemostatic,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
TRANYLCYPROMINE,CHEMBL3989843,N[C@@H]1C[C@H]1c1ccccc1,1961,TRANYLCYPROMINE SULFATE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
AMPHETAMINE,CHEMBL405,CC(N)Cc1ccccc1,1955,AMPHETAMINE ASPARTATE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
DEXTROAMPHETAMINE,CHEMBL612,C[C@H](N)Cc1ccccc1,1955,DEXTROAMPHETAMINE SACCHARATE,Small molecule,False,True,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,1.0,1.0
ALLOPURINOL,CHEMBL1467,Oc1ncnc2[nH]ncc12,1966,ALLOPURINOL SODIUM,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
SODIUM PHENYLACETATE,CHEMBL1200358,O=C(O)Cc1ccccc1,1987,Antihyperammonemic,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
BETAHISTINE,CHEMBL24441,CNCCc1ccccn1,1973.0,Vasodilator,Small molecule,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
PHENELZINE,CHEMBL1089,NNCCc1ccccc1,1961,PHENELZINE SULFATE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
AMINOBENZOIC ACID,CHEMBL542,Nc1ccc(C(=O)O)cc1,not found,"Analgesic,Ultraviolet Screen",Small molecule,False,True,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,1.0,1.0
METHYL NICOTINATE,CHEMBL379845,COC(=O)c1cccnc1,2011.0,Topical Analgesic,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
ISONIAZID,CHEMBL64,NNC(=O)c1ccncc1,1952,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
PRALIDOXIME,CHEMBL1420,C[n+]1ccccc1C=NO,1964,PRALIDOXIME CHLORIDE,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
FOSFOMYCIN,CHEMBL1757,C[C@@H]1O[C@@H]1P(=O)(O)O,1996,FOSFOMYCIN TROMETHAMINE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
SALICYLIC ACID,CHEMBL424,O=C(O)c1ccccc1O,9999,SODIUM SALICYLATE,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1.0,1.0
DEFERIPRONE,CHEMBL70927,Cc1c(O)c(=O)ccn1C,1999,,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
METHENAMINE,CHEMBL1201270,C1N2CN3CN1CN(C2)C3,1967,METHENAMINE HIPPURATE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
ETHOSUXIMIDE,CHEMBL696,CCC1(C)CC(=O)NC1=O,1960,Anticonvulsant,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
ISOMETHEPTENE,CHEMBL1697841,CNC(C)CCC=C(C)C,1948.0,Migraine,Small molecule,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
PIRACETAM,CHEMBL36715,NC(=O)CN1CCCC1=O,not found,Cognition Adjuvant,Small molecule,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
TRIMETHADIONE,CHEMBL695,CN1C(=O)OC(C)(C)C1=O,1946,Anticonvulsant,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
ETHCHLORVYNOL,CHEMBL591,C#CC(O)(/C=C/Cl)CC,1961,Sedative-Hypnotic,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
DIMETHYL FUMARATE,CHEMBL2107333,COC(=O)/C=C/C(=O)OC,2013,,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
VALPROIC ACID,CHEMBL109,CCCC(CCC)C(=O)O,1978,DIVALPROEX SODIUM,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
METHYL AMINOLEVULINATE,CHEMBL1096562,COC(=O)CCC(=O)CN,2004,METHYL AMINOLEVULINATE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
ISOSORBIDE,CHEMBL1200660,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,1974,Diuretic,Small molecule,False,True,False,False,True,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
GLUTAMINE,CHEMBL930,NC(=O)CC[C@H](N)C(=O)O,2004,,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
ACETYLCHOLINE,CHEMBL667,CC(=O)OCC[N+](C)(C)C,1973,ACETYLCHOLINE CHLORIDE,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
TRIENTINE,CHEMBL609,NCCNCCNCCN,1985,TRIENTINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
GLUTAMIC ACID HYDROCHLORIDE,CHEMBL1255943,N[C@@H](CCC(=O)O)C(=O)O,1988.0,Replenisher Adjunct,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
CARBACHOL,CHEMBL965,C[N+](C)(C)CCOC(N)=O,1972,CARBACHOL,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
PENICILLAMINE,CHEMBL1430,CC(C)(S)[C@@H](N)C(=O)O,1970,Chelating Agent,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
METHAMPHETAMINE,CHEMBL1201201,CN[C@@H](C)Cc1ccccc1,1943,METHAMPHETAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
PHENTERMINE,CHEMBL1574,CC(C)(N)Cc1ccccc1,1959,PHENTERMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
ACETAMINOPHEN,CHEMBL112,CC(=O)Nc1ccc(O)cc1,1968,Analgesic; Antipyretic,Small molecule,False,True,False,False,False,True,True,True,,,,,,,,,,,,,,,,,,,1.0,1.0
PHENYLPROPANOLAMINE,CHEMBL61006,CC(N)C(O)c1ccccc1,1958,PHENYLPROPANOLAMINE HYDROCHLORIDE,Small molecule,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
HYDROXYAMPHETAMINE,CHEMBL1546,CC(N)Cc1ccc(O)cc1,1969,HYDROXYAMPHETAMINE HYDROBROMIDE,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1.0,1.0
AMANTADINE,CHEMBL660,NC12CC3CC(CC(C3)C1)C2,1968,AMANTADINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
MERCAPTOPURINE,CHEMBL1425,Sc1ncnc2nc[nH]c12,1953,MERCAPTOPURINE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
TAVABOROLE,CHEMBL443052,OB1OCc2cc(F)ccc21,2014,,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1.0,1.0
METHENAMINE MANDELATE,CHEMBL3833312,O=C(O)C(O)c1ccccc1,1967.0,Antibacterial,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
CAMPHOR,CHEMBL504760,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,1983.0,Antipruritic,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
MESALAMINE,CHEMBL704,Nc1ccc(O)c(C(=O)O)c1,1987,Anti-Inflammatory,Small molecule,False,True,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,1.0,1.0
AMINOSALICYLIC ACID,CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1,1950,AMINOSALICYLATE POTASSIUM,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
DOPAMINE,CHEMBL59,NCCc1ccc(O)c(O)c1,1974,DOPAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
ACIPIMOX,CHEMBL345714,Cc1cnc(C(=O)O)c[n+]1[O-],not found,Hypolipidemic,Small molecule,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
MECHLORETHAMINE,CHEMBL427,CN(CCCl)CCCl,1949,MECHLORETHAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
CHLOROXYLENOL,CHEMBL398440,Cc1cc(O)cc(C)c1Cl,not found,Antibacterial,Small molecule,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
MENTHOL,CHEMBL256087,CC1CCC(C(C)C)C(O)C1,2008,Antipruritic (topical),Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
PARAMETHADIONE,CHEMBL1100,CCC1(C)OC(=O)N(C)C1=O,1949,,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
TRANEXAMIC ACID,CHEMBL877,NC[C@H]1CC[C@H](C(=O)O)CC1,1986,Hemostatic,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
PARGYLINE,CHEMBL673,C#CCN(C)Cc1ccccc1,1982,PARGYLINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
PREGABALIN,CHEMBL1059,CC(C)C[C@H](CN)CC(=O)O,2004,Anticonvulsant,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
HYDRALAZINE,CHEMBL276832,NNc1nncc2ccccc12,1953,HYDRALAZINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
TOLAZOLINE,CHEMBL770,c1ccc(CC2=NCCN2)cc1,1985,TOLAZOLINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
METHACHOLINE,CHEMBL978,CC(=O)OC(C)C[N+](C)(C)C,1986,METHACHOLINE CHLORIDE,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
CLOMETHIAZOLE,CHEMBL315795,Cc1ncsc1CCCl,not found,Sedative-Hypnotic,Small molecule,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
BETHANECHOL,CHEMBL1482,CC(C[N+](C)(C)C)OC(N)=O,1948,BETHANECHOL CHLORIDE,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
TRICHLOROACETIC ACID,CHEMBL14053,O=C(O)C(Cl)(Cl)Cl,not found,,Small molecule,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
NICOTINE,CHEMBL3,CN1CCC[C@H]1c1cccnc1,1984,NICOTINE BITARTRATE,Small molecule,False,True,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,0.0,1.0
TIOPRONIN,CHEMBL1314,CC(S)C(=O)NCC(=O)O,1988,,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
MIGALASTAT,CHEMBL110458,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,2018,MIGALASTAT HYDROCHLORIDE,Small molecule,False,True,False,False,True,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
MEPHENTERMINE,CHEMBL1201234,CNC(C)(C)Cc1ccccc1,1951,MEPHENTERMINE SULFATE,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
CHLORAL HYDRATE,CHEMBL455917,OC(O)C(Cl)(Cl)Cl,not found,Sedative-Hypnotic,Small molecule,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
METHOXYFLURANE,CHEMBL1341,COC(F)(F)C(Cl)Cl,not found,Anesthetic (inhalation),Small molecule,True,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
PHENYLBUTANOIC ACID,CHEMBL1469,O=C(O)CCCc1ccccc1,1996,SODIUM PHENYLBUTYRATE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
BENZOCAINE,CHEMBL278172,CCOC(=O)c1ccc(N)cc1,1963.0,Anesthetic (topical),Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1.0,1.0
PSEUDOEPHEDRINE,CHEMBL1590,CN[C@@H](C)[C@@H](O)c1ccccc1,1963,PSEUDOEPHEDRINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,1.0,1.0
EPHEDRINE,CHEMBL211456,CN[C@@H](C)[C@H](O)c1ccccc1,2016,EPHEDRINE HYDROCHLORIDE,Small molecule,True,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
ETHIONAMIDE,CHEMBL1441,CCc1cc(C(N)=S)ccn1,1965,Antibacterial (tuberculostatic),Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
THIOGUANINE,CHEMBL727,Nc1nc2[nH]cnc2c(=S)[nH]1,1966,Antineoplastic,Small molecule,False,True,False,False,True,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
ETHINAMATE,CHEMBL1576,C#CC1(OC(N)=O)CCCCC1,1982,,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
METARAMINOL,CHEMBL1201319,C[C@H](N)[C@H](O)c1cccc(O)c1,1954,METARAMINOL BITARTRATE,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
PHENYLEPHRINE,CHEMBL1215,CNC[C@H](O)c1cccc(O)c1,1952,PHENYLEPHRINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,True,True,,,,,,,,,,,,,,,,,,,1.0,1.0
MECAMYLAMINE,CHEMBL267936,CNC1(C)C2CCC(C2)C1(C)C,1956,MECAMYLAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
DESFLURANE,CHEMBL1200733,FC(F)OC(F)C(F)(F)F,1992,Anesthetic,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,0.0,1.0
CHLORZOXAZONE,CHEMBL1371,O=c1[nH]c2cc(Cl)ccc2o1,1958,Relaxant (skeletal muscle),Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
NOREPINEPHRINE,CHEMBL1437,NC[C@H](O)c1ccc(O)c(O)c1,1950,NOREPINEPHRINE BITARTRATE,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
PROPYLTHIOURACIL,CHEMBL1518,CCCc1cc(=O)[nH]c(=S)[nH]1,1947,Thyroid Inhibitor,Small molecule,False,True,False,False,True,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
LEVETIRACETAM,CHEMBL1286,CC[C@@H](C(N)=O)N1CCCC1=O,1999,,Small molecule,False,True,False,False,False,True,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
METRONIDAZOLE,CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,1963,METRONIDAZOLE HYDROCHLORIDE,Small molecule,False,True,False,False,False,True,True,True,,,,,,,,,,,,,,,,,,,0.0,1.0
RASAGILINE,CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,2006,RASAGILINE MESYLATE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
GABAPENTIN,CHEMBL940,NCC1(CC(=O)O)CCCCC1,1993,Anticonvulsant,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
SULFANILAMIDE,CHEMBL21,Nc1ccc(S(N)(=O)=O)cc1,1985,,Small molecule,False,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1.0,1.0
TERPIN,CHEMBL1651998,CC1(O)CCC(C(C)(C)O)CC1,not found,Expectorant,Small molecule,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
EDARAVONE,CHEMBL290916,CC1=NN(c2ccccc2)C(=O)C1,2017,,Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
DEBRISOQUIN,CHEMBL169901,N=C(N)N1CCc2ccccc2C1,9999,DEBRISOQUIN SULFATE,Small molecule,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
DICHLOROBENZYL ALCOHOL,CHEMBL3184437,OCc1ccc(Cl)cc1Cl,not found,,Small molecule,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
PEMOLINE,CHEMBL1177,NC1=NC(=O)C(c2ccccc2)O1,1975,Stimulant (central),Small molecule,True,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
PHENMETRAZINE,CHEMBL1201208,CC1NCCOC1c1ccccc1,1982,PHENMETRAZINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
BETHANIDINE,CHEMBL1201260,C/N=C(\NC)NCc1ccccc1,1982,BETHANIDINE SULFATE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
PHENACEMIDE,CHEMBL918,NC(=O)NC(=O)Cc1ccccc1,1951,Anticonvulsant,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
NIKETHAMIDE,CHEMBL2104607,CCN(CC)C(=O)c1cccnc1,not found,,Small molecule,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
AMYLMETACRESOL,CHEMBL1512677,CCCCCc1ccc(C)cc1O,not found,Antiseptic,Small molecule,True,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1.0,1.0
PROPOFOL,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,1989,Anesthetic (intravenous),Small molecule,False,True,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
CARBOCYSTEINE,CHEMBL396416,N[C@@H](CSCC(=O)O)C(=O)O,not found,Mucolytic,Small molecule,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
GLUCOSAMINE,CHEMBL493287,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,9999,GLUCOSAMINE HYDROCHLORIDE,Small molecule,False,True,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
IPRONIAZID,CHEMBL92401,CC(C)NNC(=O)c1ccncc1,1958.0,Antidepressant/Tuberculostatic,Small molecule,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,0.0,1.0
METHOXYPHENAMINE HYDROCHLORIDE,CHEMBL1985928,CNC(C)Cc1ccccc1OC,not found,,Small molecule,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,1.0,1.0
MEXILETINE,CHEMBL558,Cc1cccc(C)c1OCC(C)N,1985,MEXILETINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
RIMANTADINE,CHEMBL959,CC(N)C12CC3CC(CC(C3)C1)C2,1993,RIMANTADINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,2003,MEMANTINE HYDROCHLORIDE,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,0.0,1.0
ASPIRIN,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,1950,Analgesic; Antirheumatic; Antipyretic,Small molecule,False,True,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,1.0,1.0
