pref_name,SMILES,molecule_chembl_id,first_approval,molecule_type,indication_class,polymer_flag,withdrawn_flag,inorganic_flag,therapeutic_flag,natural_product,oral,parenteral,topical,mw
FLUCYTOSINE,Nc1nc(=O)[nH]cc1F,CHEMBL1463,1970,Small molecule,Antifungal,0,False,0,True,1,True,False,False,129.033839968
VIGABATRIN,C=CC(N)CCC(=O)O,CHEMBL89598,1970,Small molecule,Anticonvulsant (tardive dyskinesia),0,False,0,True,0,True,False,False,129.078978592
METFORMIN,CN(C)C(=N)NC(=N)N,CHEMBL1431,1970,Small molecule,Antidiabetic,0,False,0,True,0,True,False,False,129.10144535199998
FLUOROURACIL,O=c1[nH]cc(F)c(=O)[nH]1,CHEMBL185,1970,Small molecule,Antineoplastic,0,False,0,True,1,False,True,True,130.017855556
MONOMETHYL FUMARATE,COC(=O)/C=C/C(=O)O,CHEMBL589586,1970,Small molecule,,0,False,0,True,0,True,False,False,130.026608672
AMINOCAPROIC ACID,NCCCCCC(=O)O,CHEMBL1046,1970,Small molecule,Hemostatic,0,False,0,True,0,True,True,False,131.094628656
DEXTROAMPHETAMINE,C[C@H](N)Cc1ccccc1,CHEMBL612,1970,Small molecule,Stimulant (central),0,False,0,True,0,True,False,True,135.104799416
AMPHETAMINE,CC(N)Cc1ccccc1,CHEMBL405,1970,Small molecule,Stimulant (central),0,False,0,True,0,True,False,False,135.104799416
ALLOPURINOL,Oc1ncnc2[nH]ncc12,CHEMBL1467,1970,Small molecule,Xanthine Oxidase Inhibitor,0,False,0,True,0,True,True,False,136.038510748
PHENELZINE,NNCCc1ccccc1,CHEMBL1089,1970,Small molecule,Antidepressant,0,False,0,True,0,True,False,False,136.100048384
ISONIAZID,NNC(=O)c1ccncc1,CHEMBL64,1970,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,True,False,137.058911844
PRALIDOXIME,C[n+]1ccccc1C=NO,CHEMBL1420,1970,Small molecule,Cholinesterase Reactivator,0,False,0,True,0,True,True,False,137.07093932809
FOSFOMYCIN,C[C@@H]1O[C@@H]1P(=O)(O)O,CHEMBL1757,1970,Small molecule,Antibacterial,0,False,0,True,0,True,False,False,138.008195334
DEFERIPRONE,Cc1c(O)c(=O)ccn1C,CHEMBL70927,1970,Small molecule,,0,False,0,True,0,True,False,False,139.063328528
METHENAMINE,C1N2CN3CN1CN(C2)C3,CHEMBL1201270,1970,Small molecule,Antibacterial (urinary),0,False,0,True,0,True,False,False,140.106196384
ETHOSUXIMIDE,CCC1(C)CC(=O)NC1=O,CHEMBL696,1970,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,141.078978592
MESNA,O=S(=O)(O)CCS,CHEMBL1098319,1970,Small molecule,Detoxifying Agent,0,False,0,True,0,True,True,False,141.975836052
TRIMETHADIONE,CN1C(=O)OC(C)(C)C1=O,CHEMBL695,1970,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,143.058243148
ETHCHLORVYNOL,C#CC(O)(/C=C/Cl)CC,CHEMBL591,1970,Small molecule,Sedative-Hypnotic,0,False,0,True,0,True,False,False,144.034192588
DIMETHYL FUMARATE,COC(=O)/C=C/C(=O)OC,CHEMBL2107333,1970,Small molecule,,0,False,0,True,0,True,False,False,144.042258736
VALPROIC ACID,CCCC(CCC)C(=O)O,CHEMBL109,1970,Small molecule,Anticonvulsant,0,False,0,True,0,True,True,False,144.115029752
METHYL AMINOLEVULINATE,COC(=O)CCC(=O)CN,CHEMBL1096562,1970,Small molecule,,0,False,0,True,0,False,False,True,145.073893212
ISOSORBIDE,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,CHEMBL1200660,1970,Small molecule,Diuretic,0,False,0,True,1,True,False,False,146.0579088
GLUTAMINE,NC(=O)CC[C@H](N)C(=O)O,CHEMBL930,1970,Small molecule,,0,False,0,True,0,True,False,False,146.06914218
ACETYLCHOLINE,CC(=O)OCC[N+](C)(C)C,CHEMBL667,1970,Small molecule,Vasodilator (peripheral); Cardiac Depressant; Miotic; Cholinergic,0,False,0,True,0,False,False,True,146.11755517209
TRIENTINE,NCCNCCNCCN,CHEMBL609,1970,Small molecule,Chelating Agent,0,False,0,True,0,True,False,False,146.15314657599998
BETAZOLE HYDROCHLORIDE,Cl.NCCc1cc[nH]n1,CHEMBL1200949,1970,Small molecule,,0,False,0,True,0,False,True,False,147.056325
CARBACHOL,C[N+](C)(C)CCOC(N)=O,CHEMBL965,1970,Small molecule,Cholinergic (ophthalmic),0,False,0,True,0,False,True,False,147.11280414009
PENICILLAMINE,CC(C)(S)[C@@H](N)C(=O)O,CHEMBL1430,1970,Small molecule,Chelating Agent,0,False,0,True,0,True,False,False,149.051049592
METHAMPHETAMINE,CN[C@@H](C)Cc1ccccc1,CHEMBL1201201,1970,Small molecule,Stimulant (central),0,False,0,True,0,True,False,False,149.12044948
PHENTERMINE,CC(C)(N)Cc1ccccc1,CHEMBL1574,1970,Small molecule,"Anorexic,Appetite Suppressant (systemic)",0,False,0,True,0,True,False,False,149.12044948
ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,CHEMBL112,1970,Small molecule,Analgesic; Antipyretic,0,False,0,True,0,True,True,True,151.063328528
HYDROXYAMPHETAMINE,CC(N)Cc1ccc(O)cc1,CHEMBL1546,1970,Small molecule,Adrenergic (ophthalmic),0,False,0,True,0,False,False,True,151.099714036
PHENYLPROPANOLAMINE,CC(N)C(O)c1ccccc1,CHEMBL61006,1970,Small molecule,Adrenergic (vasoconstrictor),0,True,0,True,0,True,False,False,151.099714036
AMANTADINE,NC12CC3CC(CC(C3)C1)C2,CHEMBL660,1970,Small molecule,Antiviral,0,False,0,True,0,True,False,False,151.136099544
MERCAPTOPURINE,Sc1ncnc2nc[nH]c12,CHEMBL1425,1970,Small molecule,Antineoplastic,0,False,0,True,0,True,False,False,152.015667128
TAVABOROLE,OB1OCc2cc(F)ccc21,CHEMBL443052,1970,Small molecule,,0,False,0,True,0,False,False,True,152.044488052
MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,CHEMBL704,1970,Small molecule,Anti-Inflammatory,0,False,0,True,0,True,False,True,153.042593084
AMINOSALICYLIC ACID,Nc1ccc(C(=O)O)c(O)c1,CHEMBL1169,1970,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,153.042593084
MECHLORETHAMINE,CN(CCCl)CCCl,CHEMBL427,1970,Small molecule,Antineoplastic,0,False,0,True,0,False,True,True,155.026854712
MENTHOL,CC1CCC(C(C)C)C(O)C1,CHEMBL256087,1970,Small molecule,Antipruritic (topical),0,False,0,True,0,False,False,True,156.15141526
PARAMETHADIONE,CCC1(C)OC(=O)N(C)C1=O,CHEMBL1100,1970,Small molecule,,0,False,0,True,0,True,False,False,157.073893212
TRANEXAMIC ACID,NC[C@H]1CC[C@H](C(=O)O)CC1,CHEMBL877,1970,Small molecule,Hemostatic,0,False,0,True,0,True,True,False,157.11027872
ALLOPURINOL SODIUM,O=c1[n-]cnc2[nH]ncc12.[Na+],CHEMBL1200477,1970,Small molecule,,0,False,0,True,0,False,True,False,158.02045499599998
SODIUM PHENYLACETATE,O=C([O-])Cc1ccccc1.[Na+],CHEMBL1200358,1970,Small molecule,Antihyperammonemic,0,False,0,True,0,True,True,False,158.034373744
PARGYLINE,C#CCN(C)Cc1ccccc1,CHEMBL673,1970,Small molecule,Antihypertensive,0,False,0,True,0,True,False,False,159.104799416
PREGABALIN,CC(C)C[C@H](CN)CC(=O)O,CHEMBL1059,1970,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,159.125928784
HYDRALAZINE,NNc1nncc2ccccc12,CHEMBL276832,1970,Small molecule,Antihypertensive,0,False,0,True,0,True,True,False,160.074896256
TOLAZOLINE,c1ccc(CC2=NCCN2)cc1,CHEMBL770,1970,Small molecule,Vasodilator (peripheral),0,False,0,True,0,False,True,False,160.100048384
METHACHOLINE,CC(=O)OC(C)C[N+](C)(C)C,CHEMBL978,1970,Small molecule,Cholinergic,0,False,0,True,0,False,False,True,160.13320523609
BETHANECHOL,CC(C[N+](C)(C)C)OC(N)=O,CHEMBL1482,1970,Small molecule,Cholinergic,0,False,0,True,0,True,True,False,161.12845420409
NICOTINE,CN1CCC[C@H]1c1cccnc1,CHEMBL3,1970,Small molecule,Smoking Cessation Adjunct,0,False,0,True,0,True,False,True,162.115698448
TIOPRONIN,CC(S)C(=O)NCC(=O)O,CHEMBL1314,1970,Small molecule,,0,False,0,True,0,True,False,False,163.030314148
MIGALASTAT,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,CHEMBL110458,1970,Small molecule,,0,False,0,True,1,True,False,False,163.084457896
MEPHENTERMINE,CNC(C)(C)Cc1ccccc1,CHEMBL1201234,1970,Small molecule,Adrenergic (vasoconstrictor),0,False,0,True,0,False,True,False,163.136099544
PHENYLBUTANOIC ACID,O=C(O)CCCc1ccccc1,CHEMBL1469,1970,Small molecule,Antihyperammonemic,0,False,0,True,0,True,False,False,164.083729624
METFORMIN HYDROCHLORIDE,CN(C)C(=N)NC(=N)N.Cl,CHEMBL1703,1970,Small molecule,Antidiabetic,0,False,0,True,0,True,False,False,165.07812306399998
EPHEDRINE,CN[C@@H](C)[C@H](O)c1ccccc1,CHEMBL211456,1970,Small molecule,"Adrenergic,Bronchodilator",0,True,0,True,0,False,True,False,165.1153641
PSEUDOEPHEDRINE,CN[C@@H](C)[C@@H](O)c1ccccc1,CHEMBL1590,1970,Small molecule,"Adrenergic (vasoconstrictor),Decongestant,Nasal Decongestant",0,False,0,True,0,True,False,False,165.1153641
ETHIONAMIDE,CCc1cc(C(N)=S)ccn1,CHEMBL1441,1970,Small molecule,Antibacterial (tuberculostatic),0,False,0,True,0,True,False,False,166.05646932
VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+],CHEMBL433,1970,Small molecule,Anticonvulsant,0,False,0,True,0,False,True,False,166.096974
THIOGUANINE,Nc1nc2[nH]cnc2c(=S)[nH]1,CHEMBL727,1970,Small molecule,Antineoplastic,0,False,0,True,1,True,False,False,167.02656616
AMINOLEVULINIC ACID HYDROCHLORIDE,Cl.NCC(=O)CCC(=O)O,CHEMBL1200582,1970,Small molecule,Antineoplastic,0,False,0,True,0,False,False,True,167.03492086
ETHINAMATE,C#CC1(OC(N)=O)CCCCC1,CHEMBL1576,1970,Small molecule,,0,False,0,True,0,True,False,False,167.094628656
PHENYLEPHRINE,CNC[C@H](O)c1cccc(O)c1,CHEMBL1215,1970,Small molecule,Adrenergic (ophthalmic),0,False,0,True,0,True,True,True,167.094628656
METARAMINOL,C[C@H](N)[C@H](O)c1cccc(O)c1,CHEMBL1201319,1970,Small molecule,Adrenergic,0,False,0,True,0,False,True,False,167.094628656
MECAMYLAMINE,CNC1(C)C2CCC(C2)C1(C)C,CHEMBL267936,1970,Small molecule,Antihypertensive,0,False,0,True,0,True,False,False,167.167399672
DESFLURANE,FC(F)OC(F)C(F)(F)F,CHEMBL1200733,1970,Small molecule,Anesthetic,0,False,0,True,0,False,False,True,168.000984004
CHLORZOXAZONE,O=c1[nH]c2cc(Cl)ccc2o1,CHEMBL1371,1970,Small molecule,Relaxant (skeletal muscle),0,False,0,True,0,True,False,False,168.993056048
PROPYLTHIOURACIL,CCCc1cc(=O)[nH]c(=S)[nH]1,CHEMBL1518,1970,Small molecule,Thyroid Inhibitor,0,False,0,True,1,True,False,False,170.05138394
LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O,CHEMBL1286,1970,Small molecule,,0,False,0,True,0,True,True,False,170.105527688
METRONIDAZOLE,Cc1ncc([N+](=O)[O-])n1CCO,CHEMBL137,1970,Small molecule,"Antibacterial,Antiprotozoal (trichomonas)",0,False,0,True,0,True,True,True,171.064391148
RASAGILINE,C#CCN[C@@H]1CCc2ccccc21,CHEMBL887,1970,Small molecule,Antiparkinsonian,0,False,0,True,0,True,False,False,171.104799416
GABAPENTIN,NCC1(CC(=O)O)CCCCC1,CHEMBL940,1970,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,171.125928784
SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1,CHEMBL21,1970,Small molecule,,0,False,0,True,0,False,False,True,172.030648496
PRALIDOXIME CHLORIDE,C[n+]1ccccc1/C=N/O.[Cl-],CHEMBL748,1970,Small molecule,Cholinesterase Reactivator,0,False,0,True,0,True,True,False,172.040340588
EDARAVONE,CC1=NN(c2ccccc2)C(=O)C1,CHEMBL290916,1970,Small molecule,,0,False,0,True,0,False,True,False,174.07931294
PEMOLINE,NC1=NC(=O)C(c2ccccc2)O1,CHEMBL1177,1970,Small molecule,Stimulant (central),0,True,0,True,0,True,False,False,176.058577496
PHENMETRAZINE,CC1NCCOC1c1ccccc1,CHEMBL1201208,1970,Small molecule,Anorexic,0,False,0,True,0,True,False,False,177.1153641
BETHANIDINE,C/N=C(\NC)NCc1ccccc1,CHEMBL1201260,1970,Small molecule,Antihypertensive,0,False,0,True,0,True,False,False,177.12659748
PHENACEMIDE,NC(=O)NC(=O)Cc1ccccc1,CHEMBL918,1970,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,178.07422756
PROPOFOL,CC(C)c1cccc(C(C)C)c1O,CHEMBL526,1970,Small molecule,Anesthetic (intravenous),0,False,0,True,0,False,True,False,178.135765196
MEXILETINE,Cc1cccc(C)c1OCC(C)N,CHEMBL558,1970,Small molecule,Cardiac Depressant (anti-arrhythmic),0,False,0,True,0,True,False,False,179.131014164
RIMANTADINE,CC(N)C12CC3CC(CC(C3)C1)C2,CHEMBL959,1970,Small molecule,Antiviral,0,False,0,True,0,True,False,False,179.167399672
MEMANTINE,CC12CC3CC(C)(C1)CC(N)(C3)C2,CHEMBL807,1970,Small molecule,,0,False,0,True,0,True,False,False,179.167399672
ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,1970,Small molecule,Analgesic; Antirheumatic; Antipyretic,0,False,0,True,0,True,False,False,180.042258736
THEOPHYLLINE,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CHEMBL190,1970,Small molecule,"Bronchodilator,Diuretic; Relaxant (smooth muscle),Relaxant (smooth muscle)",0,False,0,True,1,True,True,True,180.064725496
ACAMPROSATE,CC(=O)NCCCS(=O)(=O)O,CHEMBL1201293,1970,Small molecule,,0,False,0,True,0,True,False,False,181.040878832
METHYL AMINOLEVULINATE HYDROCHLORIDE,COC(=O)CCC(=O)CN.Cl,CHEMBL1201093,1970,Small molecule,,0,False,0,True,0,False,False,True,181.050570924
ACETYLCHOLINE CHLORIDE,CC(=O)OCC[N+](C)(C)C.[Cl-],CHEMBL1184,1970,Small molecule,Vasodilator (peripheral); Cardiac Depressant; Miotic; Cholinergic,0,False,0,True,0,False,False,True,181.086956432
PYRIDOSTIGMINE,CN(C)C(=O)Oc1ccc[n+](C)c1,CHEMBL1115,1970,Small molecule,Cholinergic,0,False,0,True,0,True,True,False,181.09715407609
EFLORNITHINE,NCCCC(N)(C(=O)O)C(F)F,CHEMBL830,1970,Small molecule,Antineoplastic; Antiprotozoal,0,False,0,True,0,False,True,True,182.086684064
DACARBAZINE,CN(C)/N=N/c1[nH]cnc1C(N)=O,CHEMBL476,1970,Small molecule,Antineoplastic,0,False,0,True,0,False,True,False,182.09160894
CHLORPHENTERMINE,CC(C)(N)Cc1ccc(Cl)cc1,CHEMBL1201269,1970,Small molecule,Anorexic,0,True,0,True,0,True,False,False,183.081477128
LEVONORDEFRIN,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,CHEMBL677,1970,Small molecule,Adrenergic (vasoconstrictor),0,False,0,True,0,False,True,False,183.089543276
EPINEPHRINE,CNC[C@H](O)c1ccc(O)c(O)c1,CHEMBL679,1970,Small molecule,"Adrenergic (ophthalmic),Adrenergic (vasoconstrictor)",0,False,0,True,0,False,True,True,183.089543276
METHYPRYLON,CCC1(CC)C(=O)NCC(C)C1=O,CHEMBL1200790,1970,Small molecule,,0,False,0,True,0,True,False,False,183.125928784
ISOFLURANE,FC(F)OC(Cl)C(F)(F)F,CHEMBL1256,1970,Small molecule,Anesthetic (inhalation),0,False,0,True,0,False,False,True,183.971433464
ENFLURANE,FC(F)OC(F)(F)C(F)Cl,CHEMBL1257,1970,Small molecule,Anesthetic (inhalation),0,False,0,True,0,False,False,True,183.971433464
ISOFLUROPHATE,CC(C)OP(=O)(F)OC(C)C,CHEMBL1025,1970,Small molecule,Cholinergic (ophthalmic),0,False,0,True,0,False,False,True,184.066459158
ABAMETAPIR,Cc1ccc(-c2ccc(C)cn2)nc1,CHEMBL2205807,1970,Small molecule,,0,False,0,True,0,False,False,True,184.100048384
SECNIDAZOLE,Cc1ncc([N+](=O)[O-])n1CC(C)O,CHEMBL498847,1970,Small molecule,,0,False,0,True,0,True,False,False,185.080041212
PIRFENIDONE,Cc1ccc(=O)n(-c2ccccc2)c1,CHEMBL1256391,1970,Small molecule,Antipyretic; Analgesic; Anti-Inflammatory,0,False,0,True,0,True,False,False,185.084063972
PHENTERMINE HYDROCHLORIDE,CC(C)(N)Cc1ccccc1.Cl,CHEMBL1200912,1970,Small molecule,Appetite Suppressant (systemic),0,False,0,True,0,True,False,False,185.097127192
METHAMPHETAMINE HYDROCHLORIDE,CN[C@@H](C)Cc1ccccc1.Cl,CHEMBL1200952,1970,Small molecule,Stimulant (central),0,False,0,True,0,True,False,False,185.097127192
MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1,CHEMBL419,1970,Small molecule,"Anti-Infective, Topical,Antibacterial",0,False,0,True,0,False,False,True,186.04629856
SODIUM PHENYLBUTYRATE,O=C([O-])CCCc1ccccc1.[Na+],CHEMBL1746,1970,Small molecule,Antihyperammonemic,0,False,0,True,0,True,False,False,186.065673872
INAMRINONE,Nc1cc(-c2ccncc2)c[nH]c1=O,CHEMBL12856,1970,Small molecule,Cardiotonic,0,False,0,True,0,False,True,False,187.074561908
PHENYLPROPANOLAMINE HYDROCHLORIDE,CC(N)C(O)c1ccccc1.Cl,CHEMBL1200695,1970,Small molecule,Adrenergic (vasoconstrictor),0,True,0,True,0,True,False,False,187.076391748
AMANTADINE HYDROCHLORIDE,Cl.NC12CC3CC(CC(C3)C1)C2,CHEMBL1569,1970,Small molecule,Antiviral,0,False,0,True,0,True,False,False,187.112777256
SELEGILINE,C#CCN(C)[C@H](C)Cc1ccccc1,CHEMBL972,1970,Small molecule,Antidyskinetic; Antiparkinsonian (in combination with levodopa/carbidopa),0,False,0,True,0,True,False,True,187.136099544
AZELAIC ACID,O=C(O)CCCCCCCC(=O)O,CHEMBL1238,1970,Small molecule,Anti-Acne,0,False,0,True,0,False,False,True,188.104858992
THIOTEPA,S=P(N1CC1)(N1CC1)N1CC1,CHEMBL671,1970,Small molecule,Antineoplastic,0,False,0,True,0,False,True,False,189.04895501399997
DOPAMINE HYDROCHLORIDE,Cl.NCCc1ccc(O)c(O)c1,CHEMBL1557,1970,Small molecule,Adrenergic,0,False,0,True,0,False,True,False,189.055656304
PHENSUXIMIDE,CN1C(=O)CC(c2ccccc2)C1=O,CHEMBL797,1970,Small molecule,Anticonvulsant,0,False,0,True,0,True,False,False,189.078978592
CARGLUMIC ACID,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL1201780,1970,Small molecule,,0,False,0,True,0,True,False,False,190.05897142
AMINOSALICYLATE POTASSIUM,Nc1ccc(C(=O)[O-])c(O)c1.[K+],CHEMBL1200584,1970,Small molecule,,0,False,0,True,0,True,False,False,190.998474732
MECHLORETHAMINE HYDROCHLORIDE,CN(CCCl)CCCl.Cl,CHEMBL1201001,1970,Small molecule,Antineoplastic,0,False,0,True,0,False,True,True,191.00353242399999
ISOSORBIDE MONONITRATE,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,CHEMBL1311,1970,Small molecule,Vasodilator (coronary),0,False,0,True,1,True,False,False,191.042987008
PHENDIMETRAZINE,C[C@H]1[C@H](c2ccccc2)OCCN1C,CHEMBL1615439,1970,Small molecule,,0,False,0,True,0,True,False,False,191.131014164
FOSCARNET SODIUM,O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],CHEMBL754,1970,Small molecule,Antiviral,0,False,0,True,0,False,True,False,191.91764256999997
TOCAINIDE,Cc1cccc(C)c1NC(=O)C(C)N,CHEMBL1762,1970,Small molecule,Cardiac Depressant (anti-arrhythmic),0,False,0,True,0,True,False,False,192.126263132
TEMOZOLOMIDE,Cn1nnc2c(C(N)=O)ncn2c1=O,CHEMBL810,1970,Small molecule,,0,False,0,True,0,True,True,False,194.055223432
CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,CHEMBL113,1970,Small molecule,Stimulant (central),0,False,0,True,1,True,True,True,194.08037556
SOLRIAMFETOL,NC(=O)OC[C@H](N)Cc1ccccc1,CHEMBL4297620,1970,Small molecule,,0,False,0,True,0,True,False,False,194.105527688
LORCASERIN,C[C@H]1CNCCc2ccc(Cl)cc21,CHEMBL360328,1970,Small molecule,,0,True,0,True,0,True,False,False,195.081477128
PARGYLINE HYDROCHLORIDE,C#CCN(C)Cc1ccccc1.Cl,CHEMBL1200425,1970,Small molecule,Antihypertensive,0,False,0,True,0,True,False,False,195.081477128
METYROSINE,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,CHEMBL1200862,1970,Small molecule,Antihypertensive,0,False,0,True,0,True,False,False,195.089543276
METHACHOLINE CHLORIDE,CC(=O)OC(C)C[N+](C)(C)C.[Cl-],CHEMBL1200764,1970,Small molecule,Cholinergic,0,False,0,True,0,False,False,True,195.102606496
HALOTHANE,FC(F)(F)C(Cl)Br,CHEMBL931,1970,Small molecule,Anesthetic (inhalation),0,False,0,True,0,False,False,True,195.890224472
HYDRALAZINE HYDROCHLORIDE,Cl.NNc1nncc2ccccc12,CHEMBL542541,1970,Small molecule,Antihypertensive,0,False,0,True,0,True,True,False,196.05157396799999
TOLAZOLINE HYDROCHLORIDE,Cl.c1ccc(CC2=NCCN2)cc1,CHEMBL1689,1970,Small molecule,Vasodilator (peripheral),0,False,0,True,0,False,True,False,196.076726096
BETHANECHOL CHLORIDE,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],CHEMBL1768,1970,Small molecule,Cholinergic,0,False,0,True,0,True,True,False,196.097855464
LEVODOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL1009,1970,Small molecule,Antiparkinsonian,0,False,0,True,0,True,False,False,197.068807832
NITROFURAZONE,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,CHEMBL869,1970,Small molecule,"Anti-Infective, Topical",0,True,0,True,0,False,False,True,198.038904672
GUAIFENESIN,COc1ccccc1OCC(O)CO,CHEMBL980,1970,Small molecule,Expectorant,0,False,0,True,0,True,False,False,198.089208928
METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O,CHEMBL450,1970,Small molecule,,0,False,0,True,0,True,False,False,198.100442308
TACRINE,Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,1970,Small molecule,Cognition Adjuvant; Dementia Symptoms Treatment Adjunct,0,False,0,True,0,True,False,False,198.115698448
GUANETHIDINE,N=C(N)NCCN1CCCCCCC1,CHEMBL765,1970,Small molecule,Antihypertensive,0,False,0,True,0,True,False,False,198.18444670399998
CLAVULANIC ACID,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,CHEMBL777,1970,Small molecule,Inhibitor (beta-lactamase),0,False,0,True,1,True,True,False,199.048072388
MIGALASTAT HYDROCHLORIDE,Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,CHEMBL2107355,1970,Small molecule,,0,False,0,True,1,True,False,False,199.061135608
CEVIMELINE,CC1OC2(CS1)CN1CCC2CC1,CHEMBL168815,1970,Small molecule,Alzheimer's Disease Treatment (adjunct),0,False,0,True,0,True,False,False,199.103085164
DIETHYLCARBAMAZINE,CCN(CC)C(=O)N1CCN(C)CC1,CHEMBL684,1970,Small molecule,Anthelmintic,0,False,0,True,0,True,False,False,199.168462292
