parent_smiles,ring_fragment,mol_id
CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1,Cc1ccc(N)cc1S,TOX21728
CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1,Cc1ccc(N)cc1S,TOX21728
CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1,Nc1ccc(O)cc1,TOX21728
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c2n1,CC1C(=O)c2ccccc2C1=O,TOX21721
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c2n1,Cc1ccc2cc(S)cc(S)c2n1,TOX21721
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)cc3)c(S(=O)(=O)O)cc2c1)c1ccccc1,Nc1ccc2c(O)c(N)c(S)cc2c1,TOX21726
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)cc3)c(S(=O)(=O)O)cc2c1)c1ccccc1,Nc1ccc(N)cc1,TOX21726
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)cc3)c(S(=O)(=O)O)cc2c1)c1ccccc1,Nc1ccc(S)cc1,TOX21726
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)cc3)c(S(=O)(=O)O)cc2c1)c1ccccc1,Cc1ccccc1,TOX21726
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,CN1CCN(C)CC1,TOX24000
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,NC1Cc2ccccc2Sc2ccc(S)cc21,TOX24000
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,Cc1ccc(C)cc1,TOX24002
Cc1ccccc1CCO,Cc1ccccc1C,TOX27071
Cc1nc(C)c(C)nc1C,Cc1nc(C)c(C)nc1C,TOX27070
CC1=CC(O)CC(C)(C)C1,CC1=CC(O)CC(C)(C)C1,TOX27072
Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,TOX27075
CC(C)COC(=O)c1ccccc1,Cc1ccccc1,TOX27074
C=C(C)[C@@H]1CC=C(C)CC1,CC1=CC[C@@H](C)CC1,TOX27078
Nc1ccc(N)c([N+](=O)[O-])c1,[N+]c1cc(N)ccc1N,TOX957
CC1COc2ccccc2N1,CC1COc2ccccc2N1,TOX24915
O=C(O)c1cc(Cl)cc(Cl)c1O,Cc1cc(Cl)cc(Cl)c1O,TOX24914
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,[N+]c1cc([As])ccc1O,TOX956
C=CCOc1c(Br)cc(Br)cc1Br,Oc1c(Br)cc(Br)cc1Br,TOX24918
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,C[C@H]1CC[C@H](C)[C@@H](O)C1,TOX9733
C(=C/c1ccccc1)\c1ccccc1,Cc1ccccc1,TOX6050
C(=C/c1ccccc1)\c1ccccc1,Cc1ccccc1,TOX6050
Cc1ccc2c(ccc3ccccc32)c1,Cc1ccc2c(ccc3ccccc32)c1,TOX5649
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,TOX2968
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CC1OCCO1,TOX2968
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,C[C@H]1O[C@@H](N)[C@H](O)[C@@H]1O,TOX2967
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,Cn1cc(F)c(=O)[nH]c1=O,TOX2967
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,TOX2614
COC(=O)C1=CCCN(C)C1,CC1=CCCN(C)C1,TOX2617
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,Cc1ccc(O)cc1,TOX2611
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,CC1C(=O)c2ccccc2C1=O,TOX2611
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],Cc1ccc(C)c([N+])c1,TOX5642
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],Cc1ccc([N+])c(C)c1,TOX5641
CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](O)C2,TOX2612
O=C(O)c1ccccc1O,Cc1ccccc1O,TOX1708
NC(=O)c1ccccc1,Cc1ccccc1,TOX1709
CCN1CCc2nc(N)oc2CC1,CN1CCc2nc(N)oc2CC1,TOX25756
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,C[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,TOX25757
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,CN1C(=O)C(N)N(C)C1=O,TOX9559
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,Cc1cn(C)c(=O)[nH]c1=O,TOX25755
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,C[C@H]1O[C@@H](N)C[C@@H]1O,TOX25755
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,CN1CCN(C)CC1,TOX25752
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,CN1c2ccccc2C=Cc2ccccc21,TOX25752
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,Cc1ccc(O)cc1,TOX25753
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,CN1CCN(C)CC1,TOX25750
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Cc1ccc(F)cc1,TOX25750
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Cc1ccc(F)cc1,TOX25750
Nc1ccc([N+](=O)[O-])cc1N,[N+]c1ccc(N)c(N)c1,TOX958
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,Cc1ccc(O)c(O)c1,TOX4786
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,C[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1,TOX4786
Oc1nc(Cl)c(Cl)cc1Cl,Oc1nc(Cl)c(Cl)cc1Cl,TOX18317
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Cc1cc([N+])c(Cl)c([N+])c1,TOX4781
COCC(C)N(C(=O)CCl)c1c(C)csc1C,Cc1csc(C)c1N,TOX12376
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,Cn1nnnc1S,TOX25538
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,CC1=C(C)N2C(=O)[C@@H](N)[C@H]2SC1,TOX25538
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,Cc1csc(N)n1,TOX25538
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,Nc1cc(F)cc(F)c1,TOX12375
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,Cc1cccnc1C,TOX12375
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,CC1COC(C)(C)O1,TOX12372
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,Cn1cncn1,TOX12372
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,Cc1ccc(O)cc1Cl,TOX12372
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,Oc1ccc(Cl)cc1,TOX12372
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,Cc1cccc2ccccc12,TOX25533
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,CC1CCCO1,TOX25533
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,C[C@H]1C[C@H](N)c2cc(S)sc2S1(=O)=O,TOX25530
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CN1C[C@H](N)c2cc(S)sc2S1(=O)=O,TOX25531
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,Cc1ccccc1,TOX25536
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,Cc1ccccn1,TOX25536
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,C[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,TOX25537
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C)O1,TOX25534
CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,Cc1nc(C)c(C)c(C)c1C,TOX12379
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,CC1=C(C)C(C)(C)C[C@H](O)C1,TOX28633
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,CC1=C(C)C(C)(C)C[C@H](O)C1,TOX28633
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,CC1=C(C)S(=O)(=O)CCO1,TOX14792
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,Nc1ccccc1,TOX14792
CNCC(=O)c1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,TOX28636
CC(C)(C)C1CCC(=O)CC1,CC1CCC(=O)CC1,TOX24394
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,CN1CCCC1,TOX3568
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,CC1=C(O)[C@@H](N)[C@@H]2CC3C(=C(O)[C@]2(O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O,TOX3568
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,Cc1ccccc1,TOX28634
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,CC1=NCCN(C)c2ccc(Cl)cc21,TOX28634
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,Cc1ccc2[nH]cc(C)c2c1,TOX3565
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,Cn1cncn1,TOX3565
Nc1ccncc1N,Nc1ccncc1N,TOX26715
CC1=C(CC=O)C(C)(C)CCC1,CC1=C(C)C(C)(C)CCC1,TOX27088
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,CC1=C(O)[C@H]2O[C@]23CC[C@H]2[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]2[C@@]3(C)C1,TOX3706
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,CC1COC(C)(C)O1,TOX4280
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,Cn1cncn1,TOX4280
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,Cc1ccc(Cl)cc1Cl,TOX4280
Cc1ccc(N)c(N)c1,Cc1ccc(N)c(N)c1,TOX4930
c1ccc2c(c1)Oc1ccccc1S2,c1ccc2c(c1)Oc1ccccc1S2,TOX4937
CC1CN1,CC1CN1,TOX4286
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,Cc1cnc(C)c(C)c1,TOX4287
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,CC1=NC(C)(C)C(=O)N1,TOX4287
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,Cc1ccc(Cl)cc1Cl,TOX25447
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,Cn1ccnc1,TOX25447
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,Cc1c(Cl)cccc1Cl,TOX25447
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,Oc1ncc(Cl)cc1Cl,TOX175
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,Oc1ccc(O)cc1,TOX175
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,Oc1ncc(Cl)cc1Cl,TOX175
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,Oc1ccccc1O,TOX25916
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,Oc1cccc2[nH]c3ccccc3c12,TOX25916
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,TOX13979
CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C[C@@H]1C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1C,TOX17262
O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,[N+]c1ccc([As])cc1,TOX25007
CCOC(=O)C1OC1c1ccccc1,CC1OC1C,TOX5886
CCOC(=O)C1OC1c1ccccc1,Cc1ccccc1,TOX5886
ONc1ccccc1,Nc1ccccc1,TOX5889
O=CC(=O)c1ccccc1,Cc1ccccc1,TOX5888
ClCc1ccc(Cl)cc1Cl,Cc1ccc(Cl)cc1Cl,TOX25005
Cc1ccc(C(=O)C(=O)O)cc1C,Cc1ccc(C)c(C)c1,TOX31626
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,Cc1ccccc1,TOX26644
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,Cn1nc(O)c2ccccc21,TOX26644
Cc1ncc[nH]1,Cc1ncc[nH]1,TOX2107
COc1ccc2sc(C(=O)Nc3nnn[nH]3)c(OC(C)C)c2c1,Cc1sc2ccc(O)cc2c1O,TOX27268
COc1ccc2sc(C(=O)Nc3nnn[nH]3)c(OC(C)C)c2c1,Nc1nnn[nH]1,TOX27268
Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,N[C@@H]1COc2cc(O)ccc2[C@@H]1O,TOX27264
Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,CN1CCC(C)(O)CC1,TOX27264
Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,Cc1ccc(F)cc1,TOX27264
O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,CC1(N)CCCC1,TOX27265
O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,Oc1ccc(S)cc1,TOX27265
O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,Oc1ccc(F)cc1,TOX27265
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,Oc1ccc(S)cc1,TOX27266
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,Oc1ccc(F)cc1,TOX27266
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,CC1(N)CCOCC1,TOX27266
Cc1nc(C)nc(N2C[C@@H](C)N(c3ccnc([C@@H](C)O)n3)[C@@H](C)C2)n1,Cc1nc(C)nc(N)n1,TOX27267
Cc1nc(C)nc(N2C[C@@H](C)N(c3ccnc([C@@H](C)O)n3)[C@@H](C)C2)n1,C[C@@H]1CN(C)C[C@H](C)N1C,TOX27267
Cc1nc(C)nc(N2C[C@@H](C)N(c3ccnc([C@@H](C)O)n3)[C@@H](C)C2)n1,Cc1nccc(N)n1,TOX27267
CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,Cn1sc2ccccc2c1=O,TOX27261
Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,Cc1cc(C)c(S)cc1C,TOX27262
Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,CC1(C)CC(O)=C(S)C(=O)O1,TOX27262
Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,Cc1ccc(N)cc1,TOX27262
CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,CC1=Nc2c(C)nn(C)c2C(=O)NC1,TOX27263
CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,Cc1ccc(O)cc1,TOX27263
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@@]2(C)O,TOX26647
CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,TOX28974
CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,C[C@@H]1O[C@@H](O)C[C@H](O)[C@H]1O,TOX3721
CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,C[C@@H]1[C@@H](O)[C@@H](C)C[C@]2(CO2)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@H](C)[C@H]1O,TOX3721
CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,C[C@@H]1C[C@H](N)[C@@H](O)[C@H](O)O1,TOX3721
